"","Q","LCL","UCL","race","gender"
"1",0.105817881775755,0.0743993556391734,0.148377417919576,"Asian","Female"
"2",0.182525069305862,0.128996145854274,0.2518440236461,"Asian","Male"
"3",0.0683920607236187,0.0306022635173489,0.145827391833004,"Black","Female"
"4",0.195475867472896,0.100235992614651,0.346372489255525,"Black","Male"
"5",0.0755969037337824,0.0351234205247876,0.155206757576253,"Hispanic","Female"
"6",0.101489464120972,0.0477397795692661,0.202863345590796,"Hispanic","Male"
"7",0.17097665177117,0.143025291192651,0.203095960258146,"White","Female"
"8",0.200954022832188,0.167572014515475,0.239076148029592,"White","Male"
"9",0.094406676413088,0.0550223241868959,0.157289586609287,"WhiteHispanic","Female"
"10",0.157824998376969,0.0964581831648021,0.247537472138149,"WhiteHispanic","Male"
