"","Q","LCL","UCL","race","gender"
"1",0.105817881775755,0.0885443189723935,0.125995412471142,"Asian","Female"
"2",0.182525069305862,0.153321063726009,0.21587345636062,"Asian","Male"
"3",0.0683920607236187,0.0455536860359561,0.101463265398851,"Black","Female"
"4",0.195475867472896,0.140316144542688,0.265619704910232,"Black","Male"
"5",0.0755969037337824,0.051334576721945,0.109996763277943,"Hispanic","Female"
"6",0.101489464120972,0.0694468772920212,0.145996851811773,"Hispanic","Male"
"7",0.17097665177117,0.156208473450443,0.186831888290398,"White","Female"
"8",0.200954022832188,0.183335692071341,0.219809745975533,"White","Male"
"9",0.094406676413088,0.0718812839735255,0.123054947574911,"WhiteHispanic","Female"
"10",0.157824998376969,0.123294116980511,0.199822650365397,"WhiteHispanic","Male"
