"","gender_cat","race_cat","N","pre_mean","pre_sd","post_mean","post_sd","gain_mean","gain_sd"
"1","Female","Asian",154,58.1986701340585,15.1904198148711,56.921612254141,14.403700399308,-1.27705787991753,10.4508139606725
"2","Female","Asian Hispanic",4,47.9166666666667,15.7747454050008,48.4693888137141,15.6479739793306,0.552722147047408,8.34969670099464
"3","Female","Black",42,58.1446870216871,12.5221003103419,51.897695135651,15.8449527246448,-6.24699188603615,12.586870912631
"4","Female","Black Hispanic",7,53.5714285714286,16.0946823735502,46.8427510881402,12.6193948146185,-6.72867748328842,10.4469326722269
"5","Female","Hispanic",43,56.0318848185301,16.4375520061012,53.3931955035979,12.9830101787736,-2.63868931493218,11.1712355884616
"6","Female","Other",55,62.1479066727453,16.3164900061493,60.2519543300959,15.0238215089297,-1.89595234264932,11.8092327502159
"7","Female","White",344,65.0922798733656,14.9202415107,61.3632800513897,15.2398430327439,-3.72899982197581,10.1593474447784
"8","Female","White Hispanic",48,61.3088012040085,14.5451347780786,58.3374191727132,15.0493700999679,-2.97138203129532,8.99729335488812
"9","Male","Asian",270,61.653969712286,14.9819772083315,59.867587108215,15.2674917567867,-1.78638260407106,10.393611054332
"10","Male","Asian Hispanic",7,53.443152048019,17.1826733334743,42.2419475487063,18.4954457666671,-11.2012044993127,20.89038797906
"11","Male","Black",63,60.5817851389342,13.5812414796554,55.5057576046628,15.5589515496381,-5.0760275342714,8.68190891997433
"12","Male","Black Hispanic",5,68.8428784099053,17.7197599096148,61.314739284001,14.3441094520226,-7.52813912590434,7.80180115441845
"13","Male","Hispanic",114,58.4380800528169,13.5443331616941,55.2864206779736,13.2673052848752,-3.15165937484328,9.75712237502864
"14","Male","Other",105,62.0012132713902,15.4251473045279,60.8264549911576,15.1948265823667,-1.1747582802326,10.2774508196573
"15","Male","White",726,67.6333142380115,14.4023678012053,64.8718378177656,14.2860590519243,-2.7614764202459,10.12845323763
"16","Male","White Hispanic",154,64.9176721603038,13.5727850230779,61.3161138306349,14.5660668767551,-3.60155832966886,10.4980245897284
"17","Female",NA,697,61.8843778632001,15.3986553385964,58.8039277596631,15.2053498548732,-3.08045010353701,10.5419020071304
"18","Other",NA,29,58.0075635653736,23.055217097243,56.6926020045694,21.9432073679242,-1.31496156080425,12.5742406203854
"19","Male",NA,1444,64.7179479996232,14.7730356693332,61.975376796779,14.9584653875449,-2.74257120284424,10.2352819942262
"20",NA,NA,2170,63.7181325463144,15.176459136207,60.8861139175883,15.2211869839062,-2.83201862872613,10.3659685674227
