"","Q","LCL","UCL","race","gender"
"1",0.134952490896222,0.108528207943125,0.166608108780611,"Asian","Female"
"2",0.212515022467221,0.185275205993313,0.242567359218144,"Asian","Male"
"3",0.0937418058059904,0.0563578427777592,0.151931149411926,"Black","Female"
"4",0.219151674339239,0.168095478871672,0.280486804280342,"Black","Male"
"5",0.141953706544733,0.102968610881666,0.192531004438993,"Hispanic","Female"
"6",0.126469159778313,0.0982639886495688,0.161321831777806,"Hispanic","Male"
"7",0.284188594251997,0.254637106276152,0.315716960613957,"White","Female"
"8",0.363720620946074,0.339661633690406,0.388481196683063,"White","Male"
"9",0.193642749487025,0.148335422251853,0.248746815053974,"WhiteHispanic","Female"
"10",0.272233968951399,0.235177557022602,0.312741708860755,"WhiteHispanic","Male"
